id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
895,10,13,2781,42,15432,2,26:00,71,João Victor Lima Ferreira -,Guarani,1196,19:56
896,10,13,2783,61,15447,2,47:00,92,Paulo Vitor Fernandes Pereira -,Gremio Novorizontino - Saf,1307,21:47
897,10,14,2791,42,15488,1,32:00,32,Yan Henrique Rodrigues da Silva -,Guarani,1142,19:02
898,10,14,2793,57,15497,2,35:00,80,Jose Aldo Soares de Oliveira Filho -,Ituano,1055,17:35
899,10,14,2799,13,15525,2,16:00,61,Rodrigo Ferreira da Silva -,Santos,1216,20:16
900,10,15,2801,59,15538,1,41:00,41,Fernando Jose Marques Maciel -,Mirassol,1181,19:41
901,10,15,2805,49,15555,2,14:00,59,Lucas Baptista Felix -,Brusque,1184,19:44
902,10,15,2806,28,15563,2,16:00,61,Matheus Henrique Frizzo -,Coritiba S.a.f.,1156,19:16
903,10,16,2810,41,15581,2,31:00,76,Henrique Almeida Caixeta Nascentes -,Vila Nova,1291,21:31
904,10,16,2811,25,15593,1,3:00,3,Rildo Goncalves de Amorim Filho -,Goiás,963,16:03
905,10,16,2811,25,15594,2,44:00,89,Joao Roberto Sauthier da Fonseca -,Goiás,1064,17:44
906,10,16,2813,61,15606,2,11:00,56,Renato Palm da Silveira -,Gremio Novorizontino - Saf,1331,22:11
907,10,16,2818,50,15634,1,25:00,25,Jose Mario de Bona -,Ponte Preta,1105,18:25
908,10,17,2820,25,15646,2,49:00,94,Thiago Galhardo do Nascimento Rocha -,Goiás,1399,23:19
909,10,17,2823,57,15659,2,39:00,84,Kauan Richard Leal Silva -,Ituano,1359,22:39
910,10,17,2826,62,15676,1,9:00,9,Lucas Jaques Varone Maia -,Paysandu,1269,21:09
911,10,17,2826,49,15677,1,50:00,50,Marcos Vinicius Cerato -,Brusque,1310,21:50
912,10,17,2826,49,15678,2,47:00,92,Osman de Menezes Venancio Junior -,Brusque,1367,22:47
913,10,18,2830,63,15705,1,46:00,46,Cauan Lucas Barros da Luz -,Amazonas Fc,1336,22:16
914,10,18,2831,42,15709,2,48:00,93,Marcelo Cordeiro de Souza -,Guarani,1068,17:48
915,10,18,2832,59,15717,2,41:00,86,Bruno Matias dos Santos -,Mirassol,1121,18:41
916,10,18,2839,50,15750,2,49:00,94,Pedro Henrique Rocha da Silva -,Ponte Preta,1189,19:49
917,10,19,2848,57,15787,1,40:00,40,Guilherme Henrique dos Reis Lazaroni -,Ituano,1330,22:10
918,10,19,2848,57,15788,2,26:00,71,Vinicius dos Santos de Oliveira Paiva -,Ituano,1376,22:56
919,10,20,2853,16,15821,2,15:00,60,Bruno Leonardo dos Santos Covas -,Chapecoense,1095,18:15
920,10,20,2857,28,15837,2,16:00,61,Robson dos Santos Fernandes -,Coritiba S.a.f.,1036,17:16
921,10,20,2858,62,15845,2,30:00,75,Jose Domingos de Moraes Neto -,Paysandu,1290,21:30
922,10,20,2859,9,15856,2,49:00,94,Chrystian Amaral Barletta de Almeida -,Sport,1129,18:49
923,10,21,2862,62,15873,2,29:00,74,Wanderson Camelo Viana -,Paysandu,1199,19:59
