id,nome,cbf
619,Vitor Hugo Roque Ferreira,9
620,Agustin Canobbio Graviz,14
621,Erick Luis Conrado Carvalho,26
622,Bento Matheus Krepski,1
623,Aloisio dos Santos Goncalves,99
624,Marcio Almeida de Oliveira,25
625,Hyoran Kaue Dalmoro,20
626,Rodrigo Andrés Battaglia,21
627,Givanildo Vieira de Sousa,7
628,PFCristiano Garcia Nunes,
629,Guilherme Antonio Arana Lopes,13
630,André Trindade da Costa Neto,7
631,John Kennedy Batista de Souza,9
632,Fernando Diniz Silva,TC
633,Fernando Diniz Silva -,TC
634,Everton Morelli Casimiro,40
635,Willian Osmar de Oliveira Silva,12
636,Luiz Diallisson de Souza Alves,22
637,Andrey Nascimento dos Santos,18
638,Mateus Carvalho dos Santos,85
639,Jonathan Calleri,9
640,Gabriel Neves Perdomo,20
641,Lucas Khodor Silvestre,AT
642,Caio Fernando de Oliveira,38
643,Thiago Heleno Henrique Ferreira,44
644,Alex Paulo Menezes Santana,80
645,Yuri Alberto Monteiro da Silva,9
646,Matheus Lima Beltrao Oliveira,21
647,Fagner Conserva Lemos,23
648,Guilherme Sucigan Mafra Cunha,26
649,Douglas Moreira Fagundes,19
650,Rodrigo Fernandez Cedres,14
651,Emanuel Britez,19
652,José Welison da Silva,17
653,Guilherme Augusto Vieira dos Santos,29
654,Caio Alexandre Sousa E Silva,8
655,Luciano Castan da Silva,4
656,Pedro Miguel Marques da Costa Filipe,TC
657,Wallisson Luiz Alves Maximo,5
658,Luiz Filipe da Rosa Machado,23
659,Marlon Rodrigues Xavier,3
660,Eder Ferreira Graminho,33
661,Mateus Henrique Alves Silva,36
662,Eder Ferreira Graminho -,33
663,Rene Rodrigues Martins,6
664,Gabriel Ivan Mercado,25
665,Gustavo Campanharo,17
666,John Victor Maciel Furtado,31
667,Thiago Dombroski Moreira,55
668,Robson dos Santos Fernandes,30
669,Endrick Felipe Moreira de Sousa,9
670,Gabriel Vinicius Menino,25
671,Breno Henrique Vasconcelos Lopes,19
672,Vinicius Alessandro Mingotti,21
673,Kayky da Silva Chagas,37
674,Ademir da Silva Santos Junior,7
675,Everaldo Stum,9
676,Matheus Alexandre Anastacio de Souza,2
677,Filipe Augusto Carvalho Souza,5
678,Joao Victor Santos Sa,7
679,Samuel Xavier Brito,2
680,Marcilio Florencio Mota Filho -,33
681,Fernando Pereira do Nascimento,88
682,Denilson Alves Borges,27
683,Antonio José Cardoso de Oliveira,TC
684,Alan Pereira Empereur,33
685,Gabriel Fortes Chaves,11
686,Luca Nicolas Orellano,14
687,Rayan Vitor Simplício Rocha,77
688,Eguinaldo de Sousa Lemos,21
689,Jair Rodrigues Junior,8
690,Jose Gabriel dos Santos Silva,23
691,Antonio José Cardoso de Oliveira -,TC
692,PFMarco Aurelio Schiavo Reis,
693,Abel Fernando Moreira Ferreira,TC
694,Danilo Barbosa da Silva,5
695,Danilo das Neves Pinheiro,6
696,Matheus Nascimento de Paula,90
697,Lucas Pires Silva,44
698,Luan Dias da Silva,97
699,Erick Antonio Pulgar Farfan,5
700,Jadsom Meemyas de Oliveira da Silva,5
701,Vitor Hugo Naum dos Santos,28
702,Bruno Ferreira Melo,19
703,Magno Jose da Silva,2
704,Rodrigo Nestor Bertalia,11
705,Rodrigo Huendra Almeida Mendonça,18
706,David Correa da Fonseca,22
707,TGHugo de Jesus Costa E Silva,
708,Jose Henrique da Silva Dourado,99
709,Felipe Ignacio Carballo Ares,8
710,Reinaldo Manoel da Silva,22
711,Benjamin Kuscevic Jaramillo,13
712,Natanael Moreira Milouski,16
713,Andrey Ramos do Nascimento,7
714,Alef Mangueira Severino Pereira,11
715,Bruno Gomes da Silva Clevelario -,6
716,Carlos Gilberto do Nascimento Silva,4
717,Fabio Santos Romeu,6
718,Bento Matheus Krepski,1
719,Leonardo Matias Baiersdorf Linck,23
720,Vitor Hugo Roque Ferreira,9
721,Fernando Luiz Roza,5
722,Madson Ferreira dos Santos,22
723,Bruno de Lara Fuchs,3
724,Christian Chagas Tarouco,4
725,Renzo Saravia -,26
726,Nicolas Hernandez Rodriguez,22
727,Mateus Pasinato,14
728,Danilo Fernando Avelar,22
729,Bruno Henrique Pinto,27
730,Erick Antonio Pulgar Farfan,5
731,Adryelson Shawann Lima Silva,34
732,Matias Emanuel Segovia Torales,19
733,Luca Nicolas Orellano,14
734,Leonardo Pinheiro da Conceicao,3
735,Robson Alves de Barros,30
