id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
135,136 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,40,14,28/06/2023,21:30,1290,21,Noite,Manoel Barradas / Salvador,10,12,9,0
136,137 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,14,28/06/2023,19:00,1140,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,1,5,1
137,138 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,37,14,27/06/2023,19:00,1140,19,Noite,Índio Condá / Chapeco,9,19,5,0
138,139 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,14,28/06/2023,21:30,1290,21,Noite,Jacy Scaff / Londrina,16,14,9,0
139,140 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,48,14,28/06/2023,19:00,1140,19,Noite,Maria Lamas Farache / Natal,17,13,9,3
140,141 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,15,02/07/2023,20:30,1230,20,Noite,Moisés Lucarelli / Campinas,11,3,5,0
141,142 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,15,01/07/2023,16:00,960,16,Tarde,Antônio Accioly / Goiania,13,2,5,0
142,143 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,15,01/07/2023,17:00,1020,17,Tarde,Aderbal Ramos da Silva / Florianopolis,1,17,6,0
143,144 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,15,03/07/2023,20:15,1215,20,Noite,Santa Cruz / Ribeirao Preto,15,0,3,0
144,145 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,47,15,03/07/2023,18:00,1080,18,Noite,José Maria de Campos Maia / Mirassol,8,6,6,0
145,146 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,15,02/07/2023,18:00,1080,18,Noite,Adelmar da Costa Carvalho / Recife,19,7,5,0
146,147 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,43,15,01/07/2023,17:00,1020,17,Tarde,Governador João Castelo / Sao Luis,12,4,3,0
147,148 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,24,15,02/07/2023,15:30,930,15,Tarde,Alfredo Jaconi / Caxias do Sul,14,10,5,0
148,149 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,15,30/06/2023,21:30,1290,21,Noite,Soares de Azevedo / Muriae,5,9,10,1
149,150 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,49,15,01/07/2023,18:15,1095,18,Noite,Rei Pelé / Maceio,18,16,7,1
150,151 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,16,08/07/2023,11:00,660,11,Manha,Brinco de Ouro da Princesa / Campinas,0,16,5,1
151,152 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,16,10/07/2023,20:00,1200,20,Noite,Onésio Brasileiro Alvarenga / Goiania,2,10,7,0
152,153 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,16,08/07/2023,17:00,1020,17,Tarde,Aderbal Ramos da Silva / Florianopolis,1,11,8,3
