id,nome,cbf
704,Daniel de Melo Araujo Junior,80
705,Christian Chagas Tarouco,4
706,Adriano Martins da Fonseca  Goianiense Saf,3
707,Janderson Santos de Souza  Goianiense Saf,7
708,Jean Carlos Vicente,20
709,Abner Salles da Silva,23
710,Lucas Willians Assis Arcanjo,1
711,Leonardo Naldi de Matos,5
712,Janderson de Carvalho Costa,39
713,Felipe Ignacio Carballo Ares,8
714,Lawan Kennyd Gabriel Santos,33
715,Willian Osmar de Oliveira Silva,29
716,Junior Osmar Ignacio Alonso Mujica,8
717,Caio Alexandre Sousa E Silva,19
718,Ryan Gustavo de Lima,37
719,Gabriel Teixeira Aragao,11
720,Gustavo Henrique Vernes,13
721,Victor Leandro Cuesta,15
722,Victor Hugo Soares dos Santos,4
723,Rodrigo Fagundes de Freitas,3
724,Claudio Coelho Salvatico,27
725,David Luiz Moreira Marinho,23
726,Alisson Machado dos Santos,25
727,Allano Brendon de Souza Lima,2
728,Matias Nicolas Vi,17
729,Gustavo Bonatto Barreto,88
730,Eder Citadin Martins,23
731,Gabriel Barbosa Almeida,99
732,Luis Eduardo Soares da Silva,66
733,Romulo Zanre Zwarg,40
734,Damian Nicolas Su,22
735,Igor Gomes Silva,3
736,Jefferson David Savarino Quintero,10
737,John Victor Maciel Furtado,12
738,Alvaro Martin Barreal,21
