id,nome,cbf
494,PFSamir Omeiri,
495,Mozart Santos Batista Junior,TC
496,Alex Roberto Santana Rafael,23
497,Fernando Jose Marques Maciel -,7
498,Guilherme Augusto Alves Dellatorre -,49
499,Lucca Borges de Brito,11
500,Hayner Willian Monjardim Cordeiro,3
501,Geovane Batista de Faria,5
502,Patrick Marcos de Sousa Freitas,4
503,Ricardo Cesar Dantas da Silva,45
504,Moises Lima Magalhaes,15
505,Adilson dos Anjos Oliveira,8
506,Marlon Matheus Lopes do Nascimento,6
507,Jeferson Marinho dos Santos,9
508,João Pedro Galvão de Carvalho,57
509,Auremir Evangelista dos Santos,5
510,Jose Ricardo Barbosa Ribeiro Drumond,77
511,Willian Marlon Ferreira Moraes,6
512,Thomas Jaguaribe Bedinelli,30
513,Joao Paulo da Silva Alves,19
514,Marcio Antonio de Sousa Junior,7
515,Regis Tosatti Giacomin,27
516,Tarik Michel Kedes Boschetti,31
517,Patrick de Carvalho Brey,8
518,Emerson Ramon Bezerra Oliveira,7
519,Saimon Pains Tormen,4
520,Joao Vitor Hipolito Costa,5
521,Saimon Pains Tormen -,4
522,Rodrigo Silva Nascimento,6
523,Leandro Damiao da Silva dos Santos,9
524,James Francisco Freitas Iahnke,TC
525,Bruno Cesar Xavier Sislo,17
526,Jhemerson Guimaraes Gaigher,8
527,Luiz Ricardo Alves,99
528,Marcos Vinicius Cerato,19
529,Jorge Andres Roa Jimenez,5
530,Lucas Rafael Araujo Lima,19
531,Oswaldo da Silva Nascimento,14
532,Luciano Castan da Silva,40
533,Esli Samuel Garcia Cordero,15
534,Ruan Ribeiro Rodrigues,26
535,Wanderson Camelo Viana,4
536,Fabricio Dominguez Huertas,8
537,Luis Antonio Ferreira Rodrigues,94
538,Diego Andress Bujan,AT
539,Francisco Alves da Silva Neto,44
540,Luciano Silva Santos,43
541,Bruno Ferreira Melo,26
542,Lucas Figueiredo dos Santos,22
543,Breno Herculano Almeida,18
544,Luis Fellipe Campos Doria,25
545,Gabriel Adolfo Risso Patron,33
546,Willian Roberto de Farias,8
547,Elvis Vieira Araujo,10
548,Emerson Gustavo Pinto dos Santos,8
549,Luiz Felipe Castro Neto,15
550,Rodrigo Alves Soares,2
551,Paulo Vitor Fernandes Pereira,75
552,Eduardo Jacinto de Biasi,21
553,Gabriel Novaes Fernandes,35
554,Danilo Carvalho Barcelos,14
555,Geovane Batista de Faria,5
556,Jose Renato da Silva Junior,19
557,Patrick Marcos de Sousa Freitas -,4
558,Juan Sebastian Quintero Fletcher,3
559,Igor Henrique Martins Machado,27
560,Joao Vitor Hipolito Costa,5
561,Geovane da Silva de Souza,21
562,Gustavo Costa da Silva Machado,10
563,Geremias Ribeiro Junior,29
564,Wallison Nunes Silva,2
565,Luiz Junior de Souza Lopes,TC
566,Jean Dias da Costa,22
567,Vinicius dos Santos de Oliveira Paiva,7
568,Esli Samuel Garcia Cordero,15
569,Lucas Jaques Varone Maia,27
570,Jose Walber Mota de Amorim,4
571,Douglas Gonzaga Leite,AT
572,Leonardo da Silva Cruz Duarte,2
573,Eduardo Luiz Person,20
574,Joao Pedro Vieira,8
575,Jose Domingos de Moraes Neto,5
576,Leonardo Augusto dos Santos Pereira,38
577,Matheus Albino Carneiro,12
578,Joao Pedro Mendes Santos,33
579,Daniel Fortunato Borges,20
580,Gustavo Henrique Santos -,26
581,Lucas Cardoso Adell,12
582,Willian Marlon Ferreira Moraes,6
583,Jose Ricardo Barbosa Ribeiro Drumond,77
584,Airton Moises Santos Sousa,30
585,Joao Paulo da Silva Alves,19
586,Pedro Henrique Alves Santana,15
587,Giovanni Piccolomo,8
588,Matheus Bueno Batista,18
589,João Victor Lima Ferreira,19
590,Bruno Felipe de Oliveira,40
591,Luan Dias da Silva,10
592,Marlon Douglas de Sales Silva,8
593,Guilherme de Aguiar Camacho,14
594,William de Oliveira Pottker -,10
595,Alex Ruan Vasconcelos Ferreira,66
596,Diego Barbosa Tavares,11
597,Lucas Andres Mugni,10
598,David Ricardo Loiola da Silva,4
599,Madison Araujo Costa,33
600,Richard de Oliveira Costa,1
601,Hayner Willian Monjardim Cordeiro,3
602,Jacy Maranhao Oliveira,55
603,Pedro Gabriel Pereira Lopes,7
604,Joao Felipe Schmidt Urbano,5
